2022-11-19 17:38:09,763 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861489.2627676, 'type': 'status', 'user': {'account_name': 'ty', 'status': 'Я онлайн!'}}
2022-11-19 17:38:09,764 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:38:12,265 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861491.9975197, 'account_name': 'ty', 'destination': None, 'message_text': 'kjhj'}
2022-11-19 17:38:12,266 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:38:14,268 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861494.069315, 'account_name': 'ty', 'destination': None, 'message_text': 'jk'}
2022-11-19 17:38:14,268 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:38:22,772 INFO   my_server Client ('127.0.0.1', 54131) disconected from server
2022-11-19 17:38:58,298 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:38:58,299 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:39:02,774 INFO   my_server Connection established with ('127.0.0.1', 54155)
2022-11-19 17:39:03,275 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668861542.7746048, 'type': 'status', 'user': {'account_name': 'f', 'status': 'Я онлайн!'}}
2022-11-19 17:39:03,276 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:39:04,778 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861544.6130378, 'account_name': 'f', 'destination': None, 'message_text': 'kjhg]'}
2022-11-19 17:39:04,778 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:39:06,279 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861546.277285, 'account_name': 'f', 'destination': None, 'message_text': 'jh\\'}
2022-11-19 17:39:06,280 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:39:08,781 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668861548.2850957, 'account_name': 'f', 'destination': None, 'message_text': 'jhh\\'}
2022-11-19 17:39:08,782 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:39:12,284 INFO   my_server Client ('127.0.0.1', 54155) disconected from server
2022-11-19 17:40:51,092 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:40:51,092 INFO   my_server App starts at 127.0.0.1 8888
